"key","isi","judul","saham","tanggal_berita"
"","       Walhasil, pada pekan pertama Juni 2022, harga saham ANTM sudah berkurang 100 poin. Pada 6 Juni 2022, harga saham ANTM sempat turun hingga ke level 2.410.  Analis prediksi, penurunan harga saham ANTM hanya bersifat sementara. Oleh karena itu, analis rekomendasi  dan  untuk saham ANTM karena harga masih berpotensi naik.  Certified Elliott Wave Analyst Master Kanaka Hita Solvera, Daniel Agustinus, merekomendasikan  saham ANTM di sekitar level Rp 2.400–Rp 2.450 per saham dengan target penguatan di posisi Rp 2.700 per saham. Analis Jasa Utama Capital Sekuritas Cheryl Tanuwijaya rekomendasi Hold untuk saham ANTM.    Ada beberapa katalis positif sedang menyelimuti PT Aneka Tambang Tbk ( ). Hal tersebut dinilai menjadi angin segar untuk mendorong Antam mencetak pertumbuhan kinerja sepanjang tahun ini.  Certified Elliott Wave Analyst Master Kanaka Hita Solvera, Daniel Agustinus, mengatakan, kinerja Antam diprediksi akan kembali cemerlang seiringan dengan kenaikan harga komoditas. Serta, prospek industri baterai yang akan digeluti oleh ANTM.  Seperti yang diketahui, PT Industri Baterai Indonesia (BIC) telah menandatangani   bersama Antam dan Ningho Contemporary Brunp Lygend Co, Ltd (CBL). Selain itu, ANTM dan IBC juga telah menandatangani perjanjian serupa dengan LG Energy Solution.  ""Katalis positif lainnya, ANTM juga mendapatkan porsi operasi yang relatif besar pada sisi hulu terkait dengan penambangan dan pengolahan bijih nikel lewat teknologi   (RKEF) dan   (HPAL),"" jelas Daniel saat dihubungi Kontan.  Adapun, Daniel menyebut tantangan terbesar yang bakal dihadapi oleh Antam sepanjang tahun ini dari pembuatan pabrik baterai  dan smelter. Menurutnya, pembangunan dua hal tersebut membutuhkan  (capex) yang tinggi.    Secara terpisah, Analis Jasa Utama Capital Sekuritas Cheryl Tanuwijaya menambahkan sentimen positif lainnya datang untuk Antam datang dari batalnya pembangunan pabrik Tesla di India. Menurutnya, ini akan memperbesar peluang Tesla akan membangun pabrik di Indonesia.  Namun, Cheryl mengkritisi tantangan utama justru bisa datang internal perusahaan terkait dengan kemungkinan kasus korupsi. Selain itu, fluktuasi harga emas menjelang rapat The Fed juga akan mengganggu.  Itulah rekomendasi saham ANTM untuk trading hari ini, Rabu 8 Juni 2022. Ingat disclaimer on, segala risiko investasi atas rekomendasi saham ANTM di atas menjadi tanggung jawab Anda sendiri.  Cek Berita dan Artikel yang lain di ","Harga Saham ANTM Pekan 1 Juni 2022 Tren Turun, Saatnya Jual Atau Beli?","antm"," Rabu, 08 Juni 2022 / 07:06 WIB "
"","Mencatatkan harga tertinggi Rp 4.310 dan harga terendah Rp 4.230, saham BBRI ditutup naik Rp 10 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 4.300 per saham. Di lain sisi, harga offer terendah di Rp 4.310 per saham.  Kalau dihitung sejak 7 hari yang lalu (14 Juli 2022), harga saham BBRI hari ini sudah naik 5,9% dibanding harga saat itu (Rp 4.070).  Adapun sejak setahun lalu (21 Juli 2021) harga saham BBRI sudah naik 12,83% dari harga saat itu (Rp 3.820).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BBRI mencapai Rp 558,10 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.303.934 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 321, maka price to earning ratio (PER) saham ini 13,40 kali. Adapun price to book value-nya (PBV) 2,39 kali.      Dari penutupan Rabu (20/7), harga saham ANTM turun 1,18% dari Rp 1.695. Saham ANTM dibuka sama dengan harga penutupan sehari sebelumnya, tepatnya pada harga Rp 1.695 per saham.  Mencatatkan harga tertinggi Rp 1.710 dan harga terendah Rp 1.665, saham ANTM ditutup turun Rp 20 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 1.675 per saham. Di lain sisi, harga offer terendah di Rp 1.680 per saham.    Bila dihitung sejak 7 hari yang lalu (14 Juli 2022), harga saham ANTM hari ini sudah naik 1,52% dibanding harga saat itu (Rp 1.650).  Sejak setahun lalu (21 Juli 2021) harga saham ANTM turun 34,57% dari harga saat itu (Rp 2.560).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 83,50 miliar, sedangkan volume saham yang ditransaksikan mencapai 496.425 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 6,95 kali. Adapun price to book value-nya (PBV) 1,83 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham ANTM & BBRI Beda Nasib di Perdagangan Bursa Kamis (21/7)","antm"," Kamis, 21 Juli 2022 / 15:35 WIB "
"","  Chairman dan President CNGR Co., Ltd. Deng Weiming mengatakan, ANTM memiliki integrasi bisnis vertikal dalam bidang pertambangan dan logam yang terdiversifikasi, dengan orientasi ekspor sebagai bisnis utamanya. Kerja sama antara kedua belah pihak ini didasarkan pada kesamaan misi dan visi kedua belah pihak.  ""Praktik nyata dari strategi 'Globalisasi Tata Letak' akan memberikan referensi praktis baru untuk pengembangan sumber daya nikel yang hijau dan berkelanjutan, pembangunan ekonomi dan sosial regional. Juga akan mendorong pertukaran ekonomi dan sosial antara China dan Indonesia,"" ujarnya dalam keterangan resmi, Senin (8/8).  Direktur Utama ANTM Nico Kanter menambahkan, terkait proyek hilirisasi nikel, pihaknya saat ini fokus mengembangkan bisnis EV Battery Ecosystem. ANTM sangat mengapresiasi niat CNGR untuk bekerja sama dalam pengembangan fasilitas produksi hilir Nikel.  ""Kami memahami bahwa CNGR merupakan mitra strategis yang potensial bagi Antam karena memiliki pengalaman teknologi canggih dalam pengolahan nikel dan memiliki kinerja bisnis perusahaan yang baik,"" katanya.  Selain itu, kedua belah pihak juga sepakat akan menjadikan kerja sama ini sebagai peluang untuk lebih memperluas bidang kerja sama, meningkatkan kedalaman kerja sama antara kedua pihak. Kemudian, memberikan solusi yang kompetitif dan sistematis untuk pengembangan industri energi baru global, dan memberikan kontribusi berkelanjutan pada pembangunan hijau dan rendah karbon global.  CNGR adalah perusahaan produsen ternary precursor terbesar yang produknya telah memasuki 500 rantai pasokan kelas atas dunia. Keunggulan CNGR dalam R&D, manufaktur, konstruksi rekayasa dan keunggulan Antam di pertambangan, integrasi sumber daya dan operasi merupakan keunggulan yang saling melengkapi.           Cek Berita dan Artikel yang lain di ","Aneka Tambang (ANTM) dan CNGR Jalin Kerjasama Proyek Kawasan Industri Bersama","antm"," Senin, 08 Agustus 2022 / 16:19 WIB "
"","Mencatatkan harga tertinggi Rp 144 dan harga terendah Rp 131, saham BUMI ditutup turun Rp 7 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 133 per saham. Di lain sisi, harga offer terendah di Rp 134 per saham.  Kalau dihitung sejak 7 hari yang lalu (3 Agustus 2022), harga saham BUMI hari ini sudah naik 24,30% dibanding harga saat itu (Rp 107).  Adapun sejak setahun lalu (10 Agustus 2021) harga saham BUMI sudah naik 150,94% dari harga saat itu (Rp 53).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 707,90 miliar, sedangkan volume saham yang ditransaksikan mencapai 52.255.218 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 18, maka price to earning ratio (PER) saham ini 7,78 kali. Adapun price to book value-nya (PBV) -2,98 kali.      Dari penutupan Selasa (9/8), harga saham ANTM turun 2,75% dari Rp 2.180. Saham ANTM dibuka sama dengan harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.180 per saham.  Mencatatkan harga tertinggi Rp 2.180 dan harga terendah Rp 2.110, saham ANTM ditutup turun Rp 60 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.120 per saham. Di lain sisi, harga offer terendah di Rp 2.130 per saham.    Bila dihitung sejak 7 hari yang lalu (3 Agustus 2022), harga saham ANTM hari ini sudah naik 7,61% dibanding harga saat itu (Rp 1.970).  Adapun sejak setahun lalu (10 Agustus 2021) harga saham ANTM turun 9,40% dari harga saat itu (Rp 2.340).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 318,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.486.978 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,93 kali. Adapun price to book value-nya (PBV) 2,35 kali.  Cek Berita dan Artikel yang lain di ","Kompak, Harga Saham ANTM & BUMI Merosot di Perdagangan Bursa Rabu (10/8)","antm"," Rabu, 10 Agustus 2022 / 15:30 WIB "
"","Mencatatkan harga tertinggi Rp 134 dan harga terendah Rp 124, saham BUMI ditutup turun Rp 2 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 130 per saham. Di lain sisi, harga offer terendah di Rp 131 per saham.  Jika dihitung sejak 7 hari yang lalu (8 Agustus 2022), harga saham BUMI hari ini sudah naik 15,93% dibanding harga saat itu (Rp 113).  Adapun sejak setahun lalu (13 Agustus 2021) harga saham BUMI sudah naik 142,59% dari harga saat itu (Rp 54).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 404,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 31.232.440 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 18, maka price to earning ratio (PER) saham ini 7,39 kali. Adapun price to book value-nya (PBV) -2,83 kali.      Dari penutupan Jumat (12/8), harga saham ANTM turun 4,05% dari Rp 2.220. Saham ANTM dibuka di atas harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.230 per saham.  Mencatatkan harga tertinggi Rp 2.240 dan harga terendah Rp 2.120, saham ANTM ditutup turun Rp 90 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.120 per saham. Di lain sisi, harga offer terendah di Rp 2.130 per saham.    Kalau dihitung sejak 7 hari yang lalu (8 Agustus 2022), harga saham ANTM hari ini sudah naik 3,40% dibanding harga saat itu (Rp 2.060).  Adapun sejak setahun lalu (13 Agustus 2021) harga saham ANTM turun 10,50% dari harga saat itu (Rp 2.380).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 240,90 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.111.120 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 9,10 kali. Adapun price to book value-nya (PBV) 2,39 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham BUMI dan ANTM Kompak Memerah di Perdagangan Bursa Senin (15/8) ","antm"," Senin, 15 Agustus 2022 / 15:29 WIB "
"","yoy). Bank Mandiri (BMRI) mencatatkan laba bersih Rp 20,2 triliun yoy atau naik signifikan 61,7%.  Laba PT Bank Negara Indonesia Tbk (BBNI) meningkat 75,1% menjadi Rp 8,8 triliun pada Semester I 2022. Kemudian, Bank Tabungan Negara (BBTN) dalam lima bulan pertama berhasil membukukan laba sebesar Rp 1,06 triliun atau naik 49,19%.  Selain perbankan, PT Telekomunikasi Indonesia Tbk (TLKM) mencatat kenaikan laba sebesar 6,89% menjadi Rp 13,31 triliun pada semester I 2022.  Dari sisi indeks, IDX BUMN20 mampu menguat 8,61% secara  Sedangkan IDX-MES BUMN17 naik 3,58% sejak awal tahun ini. Dalam evaluasi terkini, emiten yang menjadi konstituen IDX-MES BUMN17 belum ada perubahan. Sementara pada IDX BUMN20 terjadi pergeseran.    Saham PT Bank Pembangunan Daerah Jawa Timur Tbk ( ), PT Kimia Farma Tbk ( ), dan PT Semen Baturaja (Persero) Tbk ( ) tergusur oleh PT Bank Raya Indonesia Tbk ( ), PT Bank Syariah Indonesia Tbk ( ), dan PT Dayamitra Telekomunikasi Tbk ( ).  Financial Expert Ajaib Sekuritas, M. Julian Fadli menyoroti kinerja emiten BUMN perbankan yang secara fundamental terbilang cemerlang. Hingga separuh tahun ini, PT Bank Mandiri (Persero) Tbk ( ), PT Bank Negara Indonesia Tbk ( ), dan PT Bank Rakyat Indonesia Tbk ( ) mampu mengalami peningkatan net profit di level dobel digit.  ""Seiring dengan tahun 2022 sebagai tahun pemulihan ekonomi, sektor perbankan menjadi indikator paling utama yang akan mengalami pertumbuhan secara kinerja,"" kata Julian kepada Kontan.co.id, Rabu (17/8).  Sinarmas Sekuritas, Ike Widiawati, menambahkan, peningkatan rasio profitabilitas emiten plat merah tidak hanya terjadi pada bank big caps, tapi juga pada AGRO, BRIS, dan PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk ( ).  Selain bank, sektor tambang-energi seperti PT Bukit Asam Tbk ( ), PT Aneka Tambang Tbk ( ), PT Perusahaan Gas Negara Tbk ( ), dan PT Timah Tbk ( ) punya kinerja apik. Begitu juga emiten jalan tol, PT Jasa Marga (Persero) Tbk ( ).  Ike memandang tantangan dari goncangan ekonomi masih dapat diantisipasi mayoritas perusahaan BUMN, khususnya perbankan. ""Hal ini mencerminkan bahwa industri dalam negeri masih ekspansif dan permintaan kredit masih cukup tinggi,"" ujar Ike.  Sedangkan bagi emiten konstruksi atau BUMN karya, tampaknya masih sulit untuk bisa melompat tinggi. Pasalnya, tantangan BUMN Karya bukan hanya disebabkan oleh kenaikan beban keuangan, namun juga datang dari sisi   yang cenderung terbatas.  Analis Fundamental B-Trade Raditya Krisna Pradana ikut menilai bahwa kinerja emiten infrastruktur belum optimal hingga semester pertama 2022. Begitu juga dengan kinerja dari emiten di sektor farmasi.  ""Untuk infrastruktur, kami proyeksikan sudah berada pada  bagi mayoritas harga sahamnya,"" kata Raditya.  Meski begitu, secara umum Raditya melihat ada perbaikan kinerja emiten plat merah. Hal ini cukup tergambar dari sisi pengurangan beban utang lewat restrukturisasi atau program penyehatan keuangan yang gencar dilakukan pemerintah.  Research Analyst Reliance Sekuritas, Lukman Hakim, melanjutkan, sejumlah emiten BUMN yang mengalami kesulitan keuangan dan terbentur PKPU seperti WSKT, PT Krakatau Steel (Persero) Tbk ( ), PT Garuda Indonesia Tbk ( ), dan PT Waskita Beton Precast Tbk ( ) menemui titik cerah.  Lukman menggambarkan adanya perbaikan pada KRAS yang telah melakukan restrukturisasi sejak akhir 2019. KRAS juga mampu  menuju kinerja yang positif pada periode tahun berjalan 2020 hingga laporan keuangan periode kuartal pertama 2022.  Tapi sebagai koleksi investasi, Lukman menjagokan sektor perbankan, tambang, konstruksi dan semen. Pada jajaran emiten bank, Lukman melirik saham BBNI dan BMRI. Sedangkan di sektor tambang, PTBA dan ANTM masih menarik dibeli.  Adapun prospek emiten konstruksi dan semen bisa terdongkrak sentimen dari pembangunan Ibu Kota Negara. Lukman menyarankan pelaku pasar mencermati PT Adhi Karya Tbk ( ), PT PP (Persero) Tbk ( ), SMBR, dan PT Semen Indonesia (Persero) Tbk ( ).  Menimbang kinerja fundamental, teknikal, dan sentimen yang mempengaruhinya, Julian menjagokan BMRI, BBRI, TLKM, WIKA, PTPP dan SMGR. Saham-saham tersebut bisa dipertimbangkan untuk masuk ke dalam portofolio investasi.  Lalu bagi Raditya, saham ADHI masih bisa dikoleksi dengan target penguatan ke harga Rp 1.000. Sementara untuk ANTM, pelaku pasar bisa mempertimbangkan untuk sell dengan mewaspadai potensi penurunan ke area Rp 1.710.  Sedangkan menurut Ike, saham ANTM masih menarik dilirik dengan target harga Rp 2.600. Saham lain yang bisa dipilih adalah BBRI dengan target di Rp 4.700, PGAS untuk harga Rp 1.820, JSMR dengan target Rp 4.070 dan TINS untuk target Rp 1.800.  Itulah rekomendasi saham BUMN yang layak masuk portofolio investasi. Ingat disclaimer on, segala risiko investasi atas rekomendasi saham di atas menjadi tanggung jawab Anda sendiri.  Cek Berita dan Artikel yang lain di ","Inilah Saham BUMN dan BUMD yang Bisa Jadi Portofolio Investasi","antm"," Kamis, 18 Agustus 2022 / 07:59 WIB "
"","“Spin off ini juga upaya akseslerasi pengembangan usaha, dalam melalukuan evaluasi peluang bisanis ANTM di masa depan, termasuk pengembangan ekosistem kendaraan listrik atau electric vehicle (EV),”  terang Sekretaris Perusahaan Aneka Tambang, Syarif Faisal Alkadrie dalam konferensi pers usai RUPSLB, Selasa (23/8).  Rapat juga menyetujui terkait pengalihan kekayaan berupa saham di anak-anak usaha yang secara keseluruhan nilainya dapat melebihi 50% dari kekayaan ANTM per 31 Desember 2021. Pengalihan ini terkait dengan kerjasama strategis.    Sebelumnya, manajemen ANTM merinci terdapat sejumlah manfaat dari pemisahan (spin off) ini.  , melakukan pengembangan dan pengelolaan aset yang lebih optimal sehingga dapat mendukung pemenuhan permintaan terhadap komoditas dan produk olahan nikel.  , akselerasi pengembangan usaha dengan memiliki manajemen yang fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis.  , membuka peluang kerja sama strategis guna melakukan pengembangan usaha dan mengantisipasi peluang bisnis ke depan.  ANTM sebagai pemilik sumber daya nikel terbesar kedua di Indonesia memiliki inisiatif untuk memanfaatkan momentum peningkatan tren penggunaan kendaraan listrik atau electric vehicle (EV), dengan berpartisipasi dalam pengembangan ekosistem industri baterai EV. Dus, pemisahan ini merupakan salah satu langkah awal ANTM untuk mendukung penggunaan EV Battery.  Manajemen Aneka Tambang menjabarkan, terdapat empat faktor internal yang mendukung rencana ini.   , optimalisasi pengelolaan aset wilayah izin usaha pertambangan (WIUP). Anak perusahaan diharapkan dapat melakukan pengembangan dan pengelolaan aset WIUP yang lebih intensif dan efektif ke depannya, sehingga pemanfaatan aset nikel dapat dilakukan secara optimal untuk menghasilkan produk-produk akhir dari komoditas nikel yang berkualitas tinggi dan mendukung inisiatif hilirisasi nikel.  , akselerasi dan diversifikasi pengembangan usaha. Anak perusahaan yang menerima pemisahan juga diharapkan untuk menjadi lebih fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis.  Selain itu, rencana pemisahan merupakan salah satu upaya diversifikasi pengembangan usaha, khususnya sebagian segmen usaha nikel yang harapannya dapat mendukung inisiatif hilirisasi nikel.  , potensi kerja sama strategis. Anak perusahaan yang menerima spin-off diharapkan dapat membuka kesempatan untuk melakukan kerja sama strategis untuk menciptakan nilai tambah bagi produk anak perusahaan dan memperkuat rantai pasok produksi komoditas nikel.  , penciptaan nilai tambah untuk pemegang saham. Terciptanya optimalisasi pengelolaan aset, akselerasi dan pengembangan usaha, dan potensi kerjasama strategis diharapkan mampu meningkatan kinerja keuangan dan menciptakan nilai tambah bagi pemegang saham sebagai tujuan akhir dari pemisahan.           Cek Berita dan Artikel yang lain di ","RUPS Aneka Tambang (ANTM) Setujui Spin Off Sebagian Segmen Usaha Pertambangan Nikel","antm"," Selasa, 23 Agustus 2022 / 14:34 WIB "
"","ini akan dilakukan atas anak usaha ANTM, yaitu PT Sumberdaya Arindo dan PT Nusa Karya Arindo.  ini merupakan bentuk komitmen hilirisasi ANTM untuk meningkatkan performa aset nikel. Anak perusahaan yang menerima  diharapkan dapat memperoleh kesempatan untuk melakukan kerjasama strategis untuk menciptakan nilai tambah bagi produk anak perusahaan dan memperkuat rantai pasok produksi nikel. ","Aneka Tambang (ANTM) Memisahkan Unit Usaha Nikel","antm","Rabu, 24 Agustus 2022 | 08:30 WIB "
"","     Walhasil, pada pekan pertama Juni 2022, harga saham ANTM sudah berkurang 100 poin. Pada 6 Juni 2022, harga saham ANTM sempat turun hingga ke level 2.410.  Analis prediksi, penurunan harga saham ANTM hanya bersifat sementara. Oleh karena itu, analis rekomendasi  dan  untuk saham ANTM karena harga masih berpotensi naik.  Certified Elliott Wave Analyst Master Kanaka Hita Solvera, Daniel Agustinus, merekomendasikan  saham ANTM di sekitar level Rp 2.400–Rp 2.450 per saham dengan target penguatan di posisi Rp 2.700 per saham. Analis Jasa Utama Capital Sekuritas Cheryl Tanuwijaya rekomendasi Hold untuk saham ANTM.  Ada beberapa katalis positif sedang menyelimuti PT Aneka Tambang Tbk ( ). Hal tersebut dinilai menjadi angin segar untuk mendorong Antam mencetak pertumbuhan kinerja sepanjang tahun ini.  Certified Elliott Wave Analyst Master Kanaka Hita Solvera, Daniel Agustinus, mengatakan, kinerja Antam diprediksi akan kembali cemerlang seiringan dengan kenaikan harga komoditas. Serta, prospek industri baterai yang akan digeluti oleh ANTM.    Seperti yang diketahui, PT Industri Baterai Indonesia (BIC) telah menandatangani   bersama Antam dan Ningho Contemporary Brunp Lygend Co, Ltd (CBL). Selain itu, ANTM dan IBC juga telah menandatangani perjanjian serupa dengan LG Energy Solution.  ""Katalis positif lainnya, ANTM juga mendapatkan porsi operasi yang relatif besar pada sisi hulu terkait dengan penambangan dan pengolahan bijih nikel lewat teknologi   (RKEF) dan   (HPAL),"" jelas Daniel saat dihubungi Kontan.  Adapun, Daniel menyebut tantangan terbesar yang bakal dihadapi oleh Antam sepanjang tahun ini dari pembuatan pabrik baterai  dan smelter. Menurutnya, pembangunan dua hal tersebut membutuhkan  (capex) yang tinggi.    Secara terpisah, Analis Jasa Utama Capital Sekuritas Cheryl Tanuwijaya menambahkan sentimen positif lainnya datang untuk Antam datang dari batalnya pembangunan pabrik Tesla di India. Menurutnya, ini akan memperbesar peluang Tesla akan membangun pabrik di Indonesia.  Namun, Cheryl mengkritisi tantangan utama justru bisa datang internal perusahaan terkait dengan kemungkinan kasus korupsi. Selain itu, fluktuasi harga emas menjelang rapat The Fed juga akan mengganggu.  Itulah rekomendasi saham ANTM untuk trading hari ini, Rabu 8 Juni 2022. Ingat disclaimer on, segala risiko investasi atas rekomendasi saham ANTM di atas menjadi tanggung jawab Anda sendiri.  Cek Berita dan Artikel yang lain di ","Harga Sedang Turun, Analis Rekomendasi Jangan Jual Saham ANTM, Simak Alasannya","antm"," Rabu, 08 Juni 2022 | 08:15 WIB "
"","Mencatatkan harga tertinggi Rp 416 dan harga terendah Rp 398, saham GOTO ditutup naik Rp 4 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 402 per saham. Di lain sisi, harga offer terendah di Rp 404 per saham.  Kalau dihitung sejak 7 hari yang lalu (08 Juni 2022), harga saham GOTO hari ini sudah naik 6.88 % dibanding harga saat itu (Rp 378).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham GOTO mencapai Rp 1.478,10 miliar, sedangkan volume saham yang ditransaksikan mencapai 36.249.549 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp -22, maka price to earning ratio (PER) saham ini -18,18 kali. Adapun price to book value-nya (PBV) 3,48 kali.      Dari penutupan Selasa (14/6), harga saham ANTM turun 0,46% dari Rp 2.180. Saham ANTM dibuka sama dengan harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.180 per saham.  Mencatatkan harga tertinggi Rp 2.240 dan harga terendah Rp 2.120, saham ANTM ditutup turun Rp 10 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.170 per saham. Di lain sisi, harga offer terendah di Rp 2.180 per saham.    Kalau dihitung sejak 7 hari yang lalu (08 Juni 2022), harga saham ANTM hari ini turun -10.33 % dibanding harga saat itu (Rp 2.420).  Adapun sejak setahun lalu (15 Juni 2021) harga saham ANTM turun -8.05% dari harga saat itu (Rp 2.360).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 205,80 miliar, sedangkan volume saham yang ditransaksikan mencapai 948.725 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,93 kali. Adapun price to book value-nya (PBV) 2,35 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham GOTO Menguat, ANTM Melemah di Perdagangan Bursa Rabu (15/6)","antm"," Rabu, 15 Juni 2022 / 16:03 WIB "
