stock,change,month,year,status
unvr,0.00,9,2022,positive
unvr,1.77,8,2022,positive
unvr,-5.45,7,2022,negative
unvr,0.85,6,2022,positive
unvr,21.59,5,2022,positive
unvr,6.28,4,2022,positive
unvr,-0.54,3,2022,negative
unvr,-8.68,2,2022,negative
unvr,-1.95,1,2022,negative
unvr,-8.26,12,2021,negative
unvr,1.36,11,2021,positive
unvr,11.90,10,2021,positive
unvr,-2.47,9,2021,negative
unvr,-4.03,8,2021,negative
unvr,-14.75,7,2021,negative
unvr,-15.38,6,2021,negative
unvr,-2.50,5,2021,negative
unvr,-8.75,4,2021,negative
unvr,-6.07,3,2021,negative
unvr,1.08,2,2021,positive
unvr,-5.78,1,2021,negative
unvr,-4.85,12,2020,negative
unvr,-1.28,11,2020,negative
unvr,-3.40,10,2020,negative
unvr,-1.52,9,2020,negative
unvr,-2.08,8,2020,negative
unvr,6.33,7,2020,positive
unvr,1.94,6,2020,positive
unvr,-6.34,5,2020,negative
unvr,14.14,4,2020,positive
unvr,6.23,3,2020,positive
unvr,-14.15,2,2020,negative
unvr,-5.36,1,2020,negative
unvr,0.48,12,2019,positive
unvr,-4.40,11,2019,negative
unvr,-5.97,10,2019,negative
unvr,-4.81,9,2019,negative
unvr,12.04,8,2019,positive
unvr,-3.11,7,2019,negative
unvr,1.12,6,2019,positive
unvr,-2.20,5,2019,negative
unvr,-7.57,4,2019,negative
unvr,1.13,3,2019,positive
unvr,-2.65,2,2019,negative
unvr,10.13,1,2019,positive
unvr,7.46,12,2018,positive
unvr,-2.26,11,2018,negative
unvr,-8.08,10,2018,negative
unvr,7.24,9,2018,positive
unvr,1.39,8,2018,positive
unvr,-6.18,7,2018,negative
unvr,1.10,6,2018,positive
unvr,-1.62,5,2018,negative
unvr,-6.41,4,2018,negative
unvr,-8.12,3,2018,negative
unvr,-0.92,2,2018,negative
unvr,-2.68,1,2018,negative
unvr,13.39,12,2017,positive
unvr,-0.60,11,2017,negative
unvr,1.28,10,2017,positive
unvr,-3.12,9,2017,negative
unvr,3.27,8,2017,positive
unvr,0.31,7,2017,positive
unvr,5.68,6,2017,positive
unvr,3.76,5,2017,positive
unvr,2.71,4,2017,positive
unvr,2.73,3,2017,positive
unvr,2.37,2,2017,positive
unvr,6.19,1,2017,positive
unvr,-4.26,12,2016,negative
unvr,-8.88,11,2016,negative
unvr,-0.17,10,2016,negative
unvr,-2.41,9,2016,negative
unvr,1.33,8,2016,positive
unvr,-0.06,7,2016,negative
unvr,4.58,6,2016,positive
unvr,1.23,5,2016,positive
unvr,-0.82,4,2016,negative
unvr,-3.59,3,2016,negative
unvr,21.32,2,2016,positive
unvr,-0.81,1,2016,negative
unvr,0.68,12,2015,positive
unvr,-0.68,11,2015,negative
unvr,-2.63,10,2015,negative
unvr,-4.34,9,2015,negative
unvr,-0.69,8,2015,negative
unvr,1.27,7,2015,positive
unvr,-8.78,6,2015,negative
unvr,1.64,5,2015,positive
unvr,7.44,4,2015,positive
unvr,10.14,3,2015,positive
unvr,0.49,2,2015,positive
unvr,10.91,1,2015,positive
unvr,1.57,12,2014,positive
unvr,4.61,11,2014,positive
unvr,-4.40,10,2014,negative
unvr,2.50,9,2014,positive
unvr,0.89,8,2014,positive
unvr,5.04,7,2014,positive
unvr,0.52,6,2014,positive
unvr,-0.43,5,2014,negative
unvr,0.00,4,2014,positive
unvr,2.36,3,2014,positive
unvr,0.09,2,2014,positive
unvr,9.81,1,2014,positive
unvr,-2.26,12,2013,negative
unvr,-11.33,11,2013,negative
unvr,-0.50,10,2013,negative
unvr,-3.37,9,2013,negative
unvr,-1.89,8,2013,negative
unvr,3.41,7,2013,positive
unvr,0.82,6,2013,positive
